(['957', '596'], ['957', '182'])
V: (['957', '596'], ['957', '182'])
H: (['763', '144'], ['69', '144'])
H: (['510', '440'], ['147', '440'])
V: (['859', '33'], ['859', '409'])
H: (['602', '518'], ['748', '518'])
H: (['60', '528'], ['616', '528'])
V: (['37', '242'], ['37', '892'])
V: (['216', '966'], ['216', '120'])
V: (['372', '910'], ['372', '307'])
H: (['688', '864'], ['94', '864'])
H: (['691', '17'], ['167', '17'])
V: (['989', '928'], ['989', '816'])
H: (['207', '84'], ['982', '84'])
H: (['286', '329'], ['686', '329'])
H: (['959', '62'], ['460', '62'])
H: (['840', '82'], ['780', '82'])
H: (['458', '11'], ['861', '11'])
V: (['261', '907'], ['261', '734'])
H: (['409', '617'], ['826', '617'])
H: (['104', '241'], ['913', '241'])
V: (['781', '141'], ['781', '671'])
H: (['48', '956'], ['348', '956'])
H: (['921', '517'], ['974', '517'])
H: (['565', '621'], ['724', '621'])
V: (['381', '276'], ['381', '59'])
H: (['82', '25'], ['946', '25'])
H: (['850', '438'], ['125', '438'])
V: (['313', '850'], ['313', '195'])
V: (['789', '963'], ['789', '29'])
H: (['110', '156'], ['241', '156'])
H: (['925', '974'], ['458', '974'])
H: (['748', '312'], ['120', '312'])
H: (['566', '367'], ['360', '367'])
V: (['687', '295'], ['687', '284'])
H: (['219', '925'], ['180', '925'])
V: (['59', '952'], ['59', '140'])
V: (['158', '587'], ['158', '96'])
V: (['857', '278'], ['857', '195'])
H: (['639', '384'], ['814', '384'])
V: (['850', '278'], ['850', '448'])
V: (['342', '505'], ['342', '287'])
V: (['408', '666'], ['408', '310'])
V: (['747', '347'], ['747', '176'])
H: (['766', '468'], ['54', '468'])
V: (['283', '905'], ['283', '421'])
V: (['476', '334'], ['476', '59'])
H: (['385', '772'], ['940', '772'])
H: (['741', '819'], ['230', '819'])
V: (['524', '397'], ['524', '237'])
H: (['411', '824'], ['288', '824'])
V: (['902', '64'], ['902', '422'])
V: (['937', '735'], ['937', '446'])
H: (['292', '49'], ['985', '49'])
H: (['304', '369'], ['648', '369'])
V: (['247', '723'], ['247', '697'])
H: (['663', '558'], ['154', '558'])
V: (['983', '68'], ['983', '795'])
H: (['82', '888'], ['33', '888'])
H: (['120', '829'], ['652', '829'])
H: (['787', '296'], ['814', '296'])
H: (['705', '643'], ['351', '643'])
H: (['52', '23'], ['558', '23'])
V: (['390', '92'], ['390', '393'])
H: (['713', '520'], ['897', '520'])
